course_id,course_title,is_paid,price,num_subscribers,num_reviews,course_level,subject,date_published
824412,Sell Courses On Your Own Website - No Coding Required!,True,100,1032,9,All,Web Development,2016-04-18 17:36:30+00:00
425086,Implementing a Data Warehouse with SQL Server 2012 ,True,85,1142,148,All,Web Development,2015-05-01 23:08:38+00:00
420982,Learning 200 jQuery Functions with 800 Examples,True,195,1766,38,All,Web Development,2015-02-24 22:57:40+00:00
552594,Create Complete Web Applications easily with APEX 5,True,30,912,128,Intermediate,Web Development,2015-07-14 20:30:11+00:00
477250,"Learn Gulp, The Streaming Build System",True,25,1305,38,All,Web Development,2015-04-19 20:34:42+00:00
1075570,Perfect React JS Course - Understand Relevant Details,True,200,653,20,Introductory,Web Development,2017-01-17 05:40:31+00:00
92194,Create a classified website in 2 hours - guaranteed,True,50,3411,84,All,Web Development,2013-11-09 09:36:07+00:00
699618,Learn HTML And CSS From Scratch,False,0,11533,240,Introductory,Web Development,2016-02-19 15:50:39+00:00
467426,Become a Certified Web Developer - Beginner to Expert,True,200,3397,12,All,Web Development,2015-04-06 16:38:49+00:00
1166070,Complete Bootstrap 4 course - build 3 projects,False,0,7865,241,All,Web Development,2017-04-07 17:26:02+00:00
1005610,Up and Running with Phalcon,True,20,715,12,All,Web Development,2016-11-10 15:33:54+00:00
922750,HTML : HTML Awesomeness,True,25,988,23,Introductory,Web Development,2016-08-17 19:33:35+00:00
1201054,Build CRUD Application - PHP & Mysql,False,0,4405,71,Introductory,Web Development,2017-05-04 16:47:24+00:00
177912,All You Need To Know About AngularJS - Training On AngularJS,True,50,1936,88,All,Web Development,2014-03-07 19:09:28+00:00
596192,PSD To a Creative Landing Page Using Twitter Bootstrap 3,False,0,11666,546,Introductory,Web Development,2016-04-07 00:04:27+00:00
1031780,Ready for Production with Spring Boot Actuator,True,55,361,26,Intermediate,Web Development,2017-01-05 17:48:41+00:00
511934,AngularJS For Beginners,False,0,30531,1948,All,Web Development,2015-06-30 20:28:22+00:00
1194232,Learning Path: Akka: Building Applications and Microservices,True,200,88,8,Intermediate,Web Development,2017-05-04 00:35:35+00:00
1131732,Set up a localhost Web Server for Faster Website Development,True,30,55,13,All,Web Development,2017-06-12 15:12:19+00:00
693726,Mastering Meteor: Reactive Full Stack JavaScript,True,95,494,46,Advanced,Web Development,2015-12-10 18:16:09+00:00
365426,Build A Professional Wordpress Website In An Hour,True,20,1294,11,All,Web Development,2014-12-31 04:42:49+00:00
260444,Build a file hosting/sharing site in less than 2 hours ,True,20,976,29,All,Web Development,2014-07-14 18:43:39+00:00
12975,Introduction to Java Programming for Online Learners,True,200,1586,87,Introductory,Web Development,2013-04-17 02:55:10+00:00
499904,Create full featured Landing Page in Ruby on Rails in 3 hour,True,30,1550,15,All,Web Development,2015-05-15 18:53:55+00:00
733694,How to create a  video blog with WordPress,True,25,1209,8,All,Web Development,2016-03-29 17:43:26+00:00
818958,PHP For WordPress Development,True,35,850,12,Introductory,Web Development,2016-04-12 18:00:47+00:00
374590,Create a Professional Website Without Programming/Coding,False,0,5421,93,All,Web Development,2015-01-17 09:15:37+00:00
982328,How to Build an Autocomplete System Like Google,True,30,255,5,All,Web Development,2016-10-12 23:24:28+00:00
511942,Master EmberJS : Learn Ember JS From Scratch,True,120,707,59,All,Web Development,2015-07-10 21:24:15+00:00
1024888,How To Make A Modern Wordpress BLOG 2017! Create Your Blog!,False,0,6856,137,Introductory,Web Development,2016-11-29 23:01:43+00:00
740762,Learn Top Ten PHP FrameWorks By Building Projects,True,60,1007,96,All,Web Development,2016-01-27 18:05:12+00:00
646056,How to Make a Video Blog Website From Scratch w/ Wordpress ,False,0,12952,163,All,Web Development,2015-10-21 23:31:22+00:00
545524,Build Websites And Apps By Outsourcing,True,20,2299,11,All,Web Development,2015-07-20 22:16:39+00:00
1270222,Learning Path: Web Applications with Spring and Angular,True,200,19,2,Advanced,Web Development,2017-06-28 21:04:21+00:00
340362,Learn Ruby on Rails By Building Projects,True,60,1736,79,All,Web Development,2014-11-12 09:33:28+00:00
782194,Canvas image Creator HTML5 JavaScript project from Scratch,True,100,2195,10,Intermediate,Web Development,2016-03-06 21:41:43+00:00
707962,Javascript Essentials,False,0,47062,5590,Introductory,Web Development,2016-01-20 19:08:27+00:00
1178394,Devtools 2017: The Basics of Chrome Developer Tools,False,0,4569,108,Introductory,Web Development,2017-04-14 16:58:12+00:00
1084894,Chrome Extensions : Develop 5 chrome extensions from scratch,False,0,3655,85,Introductory,Web Development,2017-03-30 15:22:46+00:00
364616,Learn how to quickly build websites using Wordpress,False,0,15715,406,All,Web Development,2014-12-18 12:50:07+00:00
990532,Advance Unix : File Processing: AWK | SED | GREP | CUT | VIM,True,75,578,40,Advanced,Web Development,2017-01-27 05:12:57+00:00
933110,Develop a Professional OnePage WordPress site With No Coding,True,20,1747,13,Introductory,Web Development,2016-08-29 16:47:15+00:00
1158836,PHP Specialist (2017 Edition),True,100,197,11,Introductory,Web Development,2017-03-28 23:39:37+00:00
70640,Python Programming: Create an Digital Marketplace in Django,True,195,4198,145,All,Web Development,2013-10-20 19:53:28+00:00
1176460,Create Ajax Chat App with PHP & Mysql,True,45,540,11,Introductory,Web Development,2017-04-15 00:56:41+00:00
736250,Mastering Thymeleaf with Spring,True,75,942,161,All,Web Development,2016-02-05 20:42:25+00:00
617886,Learn Rails Programming in Less than 2 Hours,True,35,2470,24,All,Web Development,2015-09-23 02:21:50+00:00
934570,Wordpress Backup & Restore,True,95,478,37,All,Web Development,2016-09-15 17:20:21+00:00
760306,Learn JavaScript Dynamic Interactive Projects for Beginners,True,100,2558,12,Introductory,Web Development,2016-02-14 18:51:48+00:00
780058,Build Modern Websites Super Fast,True,25,2178,22,All,Web Development,2016-03-10 00:04:59+00:00
828042,SAP - Learn SAPUI5 Professional Development,True,195,860,201,All,Web Development,2016-04-25 15:22:50+00:00
473338,Wordpress Security,True,95,2888,26,All,Web Development,2015-04-13 17:53:02+00:00
14571,Learn HTML5 At Your Own Pace. Ideal for Beginners,True,50,3026,60,All,Web Development,2012-02-28 18:52:32+00:00
713098,Build an Amazon clone: Nodejs + MongoDB + Stripe Payment,True,20,2164,290,All,Web Development,2016-01-08 17:16:48+00:00
701570,Build Real World Websites from Scratch using HTML5 and CSS3,True,195,10874,114,Introductory,Web Development,2016-01-25 18:00:51+00:00
1198704,How to become an App Developer,True,200,1935,17,Introductory,Web Development,2017-05-19 21:39:35+00:00
807874,"Modern JavaScript: Building Real-World, Real-Time Apps",True,50,1871,154,Intermediate,Web Development,2016-03-30 21:15:15+00:00
607056,JavaScript Introduction to Object Oriented JavaScript,True,90,7789,59,Introductory,Web Development,2015-10-01 17:43:34+00:00
587902,Core HTML How to get online quickly HTML to HTML5 ,True,90,10394,33,Introductory,Web Development,2015-08-21 18:53:23+00:00
963412,Building Websites JavaScript and the DOM,True,120,17759,64,Introductory,Web Development,2016-09-26 14:48:26+00:00
552198,Complete Login and Registration System in PHP and MYSQL,True,200,4714,149,All,Web Development,2015-07-16 22:09:55+00:00
916902,The Complete E-Commerce Web Developer Course 5.0,True,195,3209,58,All,Web Development,2016-09-13 16:12:58+00:00
778112,HTML5 canvas Bootcamp for beginners 25 easy steps,True,120,14118,30,Introductory,Web Development,2016-03-01 23:04:23+00:00
26845,Advanced HTML5 Tutorial for Web Developers,True,50,11847,57,All,Web Development,2012-10-17 11:07:41+00:00
460056,Learn the Basics of Programming for Marketers,True,55,11339,43,Introductory,Web Development,2015-04-21 17:24:26+00:00
641732,Css For Beginners,True,85,1156,13,Introductory,Web Development,2015-10-21 20:14:34+00:00
417914,GRUNT js: Automate web development tasks and save your time,True,55,1534,33,All,Web Development,2015-03-02 23:34:14+00:00
707682,Mastering Web and Mobile Debugging Using Chrome Dev Tools,True,195,1102,12,All,Web Development,2016-01-29 21:02:49+00:00
913966,HTML : Beginner Guide to HTML writing,True,20,783,20,Introductory,Web Development,2016-07-28 18:50:58+00:00
