course_title,num_subscribers,course_type,course_level,subject,language,price_certification,institution
Human Rights: The Rights of Refugees,84270,Self-paced,Introductory,Humanities,English,49.0,Amnesty International
What do Architects and Urban Planners do?,11046,Self-paced,Introductory,Architecture,English,49.0,Wits University
"U.S. Political Institutions: Congress, Presidency, Courts, and Bureaucracy",22723,Self-paced,Introductory,Social Sciences,English,49.0,Harvard University
Negotiation Skills and Effective Communication,8146,Self-paced,Intermediate,Business & Management,English,149.0,Tecnológico de Monterrey
AP® English Literature & Composition – Part 1: Stories,15650,Self-paced,Introductory,Humanities,English,49.0,"University of California, Berkeley"
"Viruses & How to Beat Them: Cells, Immunity, Vaccines",28710,Self-paced,Introductory,Medicine,English,149.0,IsraelX-Tel Aviv University
Alianzas: un vehículo para lograr el desarrollo sostenible,17554,Self-paced,Introductory,Social Sciences,Español,25.0,Inter-American Development Bank
Designing and Creating Skirts,13954,Self-paced,Introductory,Design,English,99.0,The Hong Kong Polytechnic University
Cómo Aprender Online,7958,Self-paced,Introductory,Education & Teacher Training,Español,49.0,edX
Computing in Python II: Control Structures,31511,Self-paced,Introductory,Computer Science,English,99.0,The Georgia Institute of Technology
Facebook Ads: Cómo utilizar el poder de la publicidad en Facebook,29614,Self-paced,Introductory,Communication,Español,49.0,Universidad Galileo
Machine Learning Fundamentals,82008,Self-paced,Advanced,Data Analysis & Statistics,English,350.0,"The University of California, San Diego"
Pre-University Calculus,103224,Self-paced,Introductory,Math,English,50.0,Delft University of Technology
Tsinghua Chinese: Start Talking with 1.3 Billion People,58834,Self-paced,Introductory,Language,English,49.0,Tsinghua University
Deep Learning with Python and PyTorch,36195,Self-paced,Intermediate,Data Analysis & Statistics,English,99.0,IBM
Diseña presentaciones eficaces con Powerpoint,36663,Self-paced,Introductory,Computer Science,Español,50.0,Universitat Politècnica de Valencia
World of Wine: From Grape to Glass,81839,Self-paced,Introductory,Science,English,199.0,University of Adelaide
Sustainable Cities,16619,Self-paced,Intermediate,Environmental Studies,English,49.0,SDG Academy
Introduction to Developmental Psychology,38060,Self-paced,Introductory,Humanities,English,99.0,The University of Queensland
Creativity & Entrepreneurship,69413,Self-paced,Introductory,Business & Management,English,49.0,Berklee College of Music
College Algebra and Problem Solving,103010,Self-paced,Introductory,Math,English,49.0,Arizona State University
Academic writing for clarity and meaning,16220,Self-paced,Introductory,Education & Teacher Training,English,49.0,Wits University
Financial Development and Financial Inclusion,13853,Self-paced,Intermediate,Economics & Finance,English,25.0,The International Monetary Fund
Global Public Health,17273,Self-paced,Intermediate,Health & Safety,English,49.0,SDG Academy
Embedded Systems - Shape The World: Microcontroller Input/Output,69182,Self-paced,Intermediate,Computer Science,English,49.0,The University of Texas at Austin
Introduction to Animal Behaviour,42135,Self-paced,Introductory,Biology & Life Sciences,English,49.0,Wageningen University & Research
Circular Economy: An Introduction,50240,Self-paced,Introductory,Business & Management,English,50.0,Delft University of Technology
Public Financial Management,23288,Self-paced,Intermediate,Economics & Finance,English,25.0,The International Monetary Fund
Anatomy: Human Neuroanatomy,49319,Self-paced,Introductory,Biology & Life Sciences,English,49.0,The University of Michigan
Android: Introducción a la Programación,85786,Self-paced,Introductory,Computer Science,Español,50.0,Universitat Politècnica de Valencia
The Ancient Greek Hero,51744,Instructor-led,Introductory,Humanities,English,99.0,Harvard University
Agile Leadership Principles and Practices,31838,Self-paced,Advanced,Engineering,English,199.0,"The University of Maryland, College Park-University System of Maryland"
How to Code: Simple Data,98113,Self-paced,Introductory,Computer Science,English,125.0,University of British Columbia
Cybersecurity and Privacy in the IoT,21440,Self-paced,Introductory,Computer Science,English,199.0,Curtin University
Strategic Management,71085,Self-paced,Introductory,Business & Management,English,150.0,Indian Institute of Management Bangalore
Introducción a la ciencia de datos y sus aplicaciones,7303,Self-paced,Introductory,Data Analysis & Statistics,Español,39.0,IBM
"Biochemistry: Biomolecules, Methods, and Mechanisms",18692,Instructor-led,Intermediate,Biology & Life Sciences,English,150.0,Massachusetts Institute of Technology
Astronomía Virtual,10500,Self-paced,Introductory,Science,Español,29.0,Universidad Nacional de Córdoba
Nutrition and Cancer,27144,Self-paced,Intermediate,Food & Nutrition,English,99.0,Wageningen University & Research
Build your very first iOS app,31570,Instructor-led,Introductory,Computer Science,English,149.0,Curtin University
Object-Oriented Programming,93633,Self-paced,Introductory,Computer Science,English,149.0,IITBombay
Introduction to Jenkins,7233,Self-paced,Introductory,Computer Science,English,199.0,The Linux Foundation
Conducting an Informational Interview,15594,Self-paced,Introductory,Language,English,99.0,University of Washington
Liderazgo y comportamiento organizacional,21419,Self-paced,Introductory,Business & Management,Español,149.0,Tecnológico de Monterrey
Creative Coding,18660,Instructor-led,Introductory,Design,English,249.0,New York University
Análisis estadístico con Excel,22717,Self-paced,Introductory,Data Analysis & Statistics,Español,49.0,Universidad Galileo
Introducción a la Ingeniería del Software,17931,Self-paced,Introductory,Computer Science,Español,49.0,Universidad Autónoma de Madrid
Computer Graphics,98553,Self-paced,Intermediate,Computer Science,English,99.0,"The University of California, San Diego"
Data Science: Computational Thinking with Python,78232,Self-paced,Introductory,Computer Science,English,199.0,"University of California, Berkeley"
Comunicación efectiva para el líder actual,18470,Self-paced,Introductory,Communication,Español,149.0,Tecnológico de Monterrey
Debate y argumentación,10954,Self-paced,Introductory,Humanities,Español,49.0,Universidad del Rosario
Deep Learning with Tensorflow,37564,Self-paced,Intermediate,Data Analysis & Statistics,English,99.0,IBM
Machine Learning (aprendizaje automático) con Python: una introducción práctica,39155,Self-paced,Introductory,Computer Science,Español,49.0,IBM
Essential Human Biology: Cells and Tissues,67961,Self-paced,Introductory,Medicine,English,169.0,University of Adelaide
"Writing, Presenting and Submitting Scientific Papers in English | 英文科技论文写作与学术报告",35720,Self-paced,Intermediate,Communication,English,49.0,Tsinghua University
Computing in Python III: Data Structures,27239,Self-paced,Introductory,Computer Science,English,99.0,The Georgia Institute of Technology
Introduction to Internet of Things (IoT),6703,Self-paced,Introductory,Data Analysis & Statistics,English,49.0,Rolls-Royce
Nutrition and Health: Food Risks,51493,Self-paced,Introductory,Biology & Life Sciences,English,49.0,Wageningen University & Research
Mechanics: Kinematics and Dynamics,35529,Self-paced,Intermediate,Physics,English,49.0,Massachusetts Institute of Technology
Storytelling for Social Change,30313,Self-paced,Introductory,Communication,English,49.0,The University of Michigan
Introduction to Data Analytics for Managers,39113,Self-paced,Introductory,Business & Management,English,49.0,The University of Michigan
Qualitative Research Methods: Conversational Interviewing,21972,Self-paced,Intermediate,Humanities,English,49.0,Massachusetts Institute of Technology
International Project Management,45145,Self-paced,Advanced,Business & Management,English,150.0,Rochester Institute of Technology
Software Development Fundamentals,51402,Self-paced,Intermediate,Computer Science,English,149.0,University of Pennsylvania
"First Nights - Stravinsky’s Rite of Spring: Modernism, Ballet, and Riots",17484,Self-paced,Introductory,Humanities,English,49.0,Harvard University
Critical Thinking & Problem Solving,6558,Self-paced,Introductory,Communication,English,199.0,Rochester Institute of Technology
Data Analysis Essentials,42262,Self-paced,Introductory,Business & Management,English,79.0,Imperial College Business School-Imperial College London
Master Control in Supply Chain Management and Logistics,31326,Self-paced,Introductory,Business & Management,English,49.0,Chalmers University of Technology
Work and Employment for a Sustainable Future,6528,Self-paced,Intermediate,Economics & Finance,English,49.0,SDG Academy
Foundations of Data Structures,54075,Self-paced,Intermediate,Computer Science,English,149.0,IITBombay
"Financial Programming and Policies, Part 1: Macroeconomic Accounts & Analysis",31024,Self-paced,Intermediate,Economics & Finance,English,25.0,The International Monetary Fund
IoT System Design: Software and Hardware Integration,13608,Self-paced,Intermediate,Computer Science,English,99.0,Waseda University
English for Doing Business in Asia – Writing,44252,Self-paced,Introductory,Humanities,English,60.0,The Hong Kong University of Science and Technology
Working in Teams: A Practical Guide,43981,Self-paced,Introductory,Humanities,English,49.0,The University of Queensland
Introducción a los encofrados y las cimbras en obra civil y edificación,16029,Self-paced,Introductory,Engineering,Español,50.0,Universitat Politècnica de Valencia
AI Chatbots without Programming,35440,Self-paced,Introductory,Computer Science,English,99.0,IBM
Introducción a la Ciencia de Datos y el Big Data,16268,Self-paced,Intermediate,Data Analysis & Statistics,Español,49.0,Tecnológico de Monterrey
Just Money: Banking as if Society Mattered,25553,Self-paced,Introductory,Business & Management,English,49.0,Massachusetts Institute of Technology
Introducción a R,6431,Self-paced,Introductory,Data Analysis & Statistics,Español,49.0,Universidades Anáhuac
Computing in Python IV: Objects & Algorithms,28112,Self-paced,Introductory,Computer Science,English,99.0,The Georgia Institute of Technology
Adobe Illustrator: aprende a crear presentaciones de impacto,18613,Self-paced,Introductory,Design,Español,15.0,Pontificia Universidad Javeriana
Teaching Critical Thinking through Art with the National Gallery of Art,18595,Self-paced,Introductory,Education & Teacher Training,English,25.0,The Smithsonian Institution
Word intermedio: herramientas de formato y productividad,10265,Self-paced,Intermediate,Computer Science,Español,50.0,Universitat Politècnica de Valencia
Introducción a las finanzas: Principios de valoración,17344,Self-paced,Intermediate,Economics & Finance,Español,49.0,Universidad del Rosario
Aprende a diseñar jardines verticales y cuadros vivos,6341,Self-paced,Introductory,Biology & Life Sciences,Español,29.0,Universidad Nacional de Córdoba
"Anatomy: Cardiovascular, Urinary, and Respiratory Systems",36917,Self-paced,Introductory,Biology & Life Sciences,English,49.0,The University of Michigan
Software Engineering: Introduction,35524,Self-paced,Advanced,Computer Science,English,125.0,University of British Columbia
Structure of Materials,13042,Self-paced,Intermediate,Engineering,English,150.0,Massachusetts Institute of Technology
Fundamentos de fotografía documental,13036,Self-paced,Introductory,Art & Culture,Español,49.0,Universidad del Rosario
AP® Italian Language and Culture (2020-2021),39398,Self-paced,Advanced,Humanities,another language,49.0,Wellesley College
Computer Hardware and Operating Systems,9715,Self-paced,Introductory,Computer Science,English,150.0,New York University
Marketing Management,43415,Instructor-led,Advanced,Business & Management,English,214.0,"The University of Maryland, College Park-University System of Maryland"
You Can Innovate: User  Innovation & Entrepreneurship,18974,Self-paced,Introductory,Business & Management,English,49.0,Massachusetts Institute of Technology
Analytics in Python,82210,Instructor-led,Intermediate,Business & Management,English,249.0,Columbia University
Bases Matemáticas: Álgebra,35811,Self-paced,Introductory,Math,Español,50.0,Universitat Politècnica de Valencia
HTML5 Apps and Games,86850,Self-paced,Advanced,Computer Science,English,199.0,The World Wide Web Consortium (W3C)
MATLAB and Octave for Beginners,68706,Self-paced,Introductory,Computer Science,English,139.0,École polytechnique fédérale de Lausanne
AP Physics 1,43401,Self-paced,Introductory,Physics,English,49.0,Rice University
The Divine Comedy: Dante's Journey to Freedom,12005,Self-paced,Introductory,Humanities,English,49.0,Georgetown University
Linux Basics: The Command Line Interface,32726,Self-paced,Introductory,Computer Science,English,49.0,Dartmouth_IMTx-Dartmouth College-IMT
Entrepreneurial Operations: Launching a Startup,23808,Self-paced,Intermediate,Business & Management,English,149.0,Babson College
Maths Essentials,44642,Self-paced,Introductory,Business & Management,English,79.0,Imperial College Business School-Imperial College London
"Marketing Analytics: Products, Distribution and Sales",50588,Self-paced,Intermediate,Computer Science,English,249.0,"University of California, Berkeley"
Marketing Innovative Products and Services,6293,Self-paced,Introductory,Business & Management,English,149.0,"The University of Maryland, College Park-University System of Maryland"
Just Reading and Writing in English | 生活英语读写,33303,Self-paced,Introductory,Art & Culture,English,149.0,Tsinghua University
Introduction to Java Programming – Part 1,270376,Self-paced,Introductory,Computer Science,English,99.0,The Hong Kong University of Science and Technology
Comunicación y Redacción Digital,7165,Self-paced,Introductory,Communication,Español,29.0,Universidades Anáhuac
Monetary Policy Analysis and Forecasting,6616,Self-paced,Advanced,Economics & Finance,English,25.0,The International Monetary Fund
Basic Analytical Chemistry,19010,Self-paced,Introductory,Chemistry,English,49.0,The University of Tokyo
Identifying Entrepreneurial Opportunities,11922,Self-paced,Introductory,Business & Management,English,149.0,"The University of Maryland, College Park-University System of Maryland"
"ChinaX Book Club: Five Authors, Five Books, Five Views of China",5855,Self-paced,Introductory,Literature,English,139.0,Harvard University
Astrophysics: Cosmology,83322,Self-paced,Intermediate,Physics,English,50.0,Australian National University
Japanese Culture and Language (I) |日语与日本文化（1）,18489,Self-paced,Introductory,Art & Culture,another language,139.0,Tsinghua University
COVID-19 Training for Healthcare Workers,5742,Self-paced,Introductory,Medicine,English,10.0,Stanford University
The Rise of Superheroes and Their Impact On Pop Culture,31368,Self-paced,Introductory,Humanities,English,50.0,The Smithsonian Institution
Introduction to Aeronautical Engineering,99971,Self-paced,Introductory,Engineering,English,50.0,Delft University of Technology
Diseño de Jardines,5683,Self-paced,Introductory,Biology & Life Sciences,Español,29.0,Universidad Nacional de Córdoba
"Introducción al griego clásico: lengua, nombres y mitología",18849,Self-paced,Introductory,Language,Español,49.0,Universidad Autónoma de Madrid
Deep Learning Fundamentals with Keras,32140,Self-paced,Intermediate,Data Analysis & Statistics,English,99.0,IBM
Existential Well-being Counseling: A Person-centered Experiential Approach,48439,Self-paced,Introductory,Humanities,English,49.0,KU Leuven University
Solid Waste Management,7668,Self-paced,Introductory,Environmental Studies,English,5.0,World Bank Group
Retail Fundamentals,37558,Self-paced,Intermediate,Business & Management,English,99.0,Dartmouth College
Greatest Unsolved Mysteries of the Universe,93965,Self-paced,Intermediate,Physics,English,50.0,Australian National University
"Money Markets, Foreign Exchange and Time Value of Money",12230,Self-paced,Introductory,Economics & Finance,English,199.0,NYIF
Gestión de Contenidos Digitales y Marketing Turístico de Ciudad,14627,Self-paced,Introductory,Communication,Español,49.0,Pontificia Universidad Javeriana
Designing the User Experience,6416,Self-paced,Introductory,Business & Management,English,199.0,"The University of Maryland, College Park-University System of Maryland"
Introduction to Bioconductor,36370,Self-paced,Intermediate,Data Analysis & Statistics,English,149.0,Harvard University
Connected Strategy,10355,Self-paced,Intermediate,Business & Management,English,199.0,The Wharton School of the University of Pennsylvania
Hybrid Vehicles,18294,Instructor-led,Advanced,Engineering,English,249.0,Chalmers University of Technology
First Nights - Handel's Messiah and Baroque Oratorio,18029,Self-paced,Introductory,Humanities,English,49.0,Harvard University
Statistical Inference and Modeling for High-throughput Experiments,51590,Self-paced,Intermediate,Data Analysis & Statistics,English,149.0,Harvard University
First Nights - Monteverdi’s L’Orfeo and the Birth of Opera,13300,Self-paced,Introductory,Humanities,English,49.0,Harvard University
18th-Century Opera: Handel & Mozart,18331,Self-paced,Introductory,Music,English,99.0,Harvard University
Introduction to video game development with Unity,7605,Self-paced,Intermediate,Computer Science,English,50.0,Universitat Politècnica de Valencia
Best Practices for Project Management Success,46610,Self-paced,Intermediate,Business & Management,English,150.0,Rochester Institute of Technology
Fundamentos de la Tecnología Blockchain,5473,Self-paced,Introductory,Economics & Finance,Español,49.0,Pontificia Universidad Javeriana
Información financiera y su análisis,5473,Self-paced,Advanced,Economics & Finance,Español,49.99,Tecnológico de Monterrey
Coaching Skills for Learner-Centred Conversations,8089,Self-paced,Introductory,Education & Teacher Training,English,49.0,Imperial College London
Intellectual Property Law and Policy: Part 1,43993,Self-paced,Intermediate,Law,English,169.0,University of Pennsylvania
Robotics,68199,Instructor-led,Advanced,Computer Science,English,249.0,Columbia University
La gestion des ressources humaines,6824,Self-paced,Introductory,Business & Management,another language,99.0,HEC Montréal
Writing for Social Justice,9927,Self-paced,Introductory,Humanities,English,50.0,"University of California, Berkeley"
Steps in Japanese for Beginners1 Part2,8080,Self-paced,Introductory,Language,English,99.0,Waseda University
Case Studies in Functional Genomics,26850,Self-paced,Advanced,Data Analysis & Statistics,English,149.0,Harvard University
Essential Career Skills for Investment Banking and Finance,11655,Self-paced,Introductory,Business & Management,English,49.0,NYIF
Data Structures and Software Design,30609,Self-paced,Intermediate,Computer Science,English,149.0,University of Pennsylvania
Unconscious Bias: From Awareness to Action,26659,Self-paced,Introductory,Communication,English,49.0,Catalyst
Cybersecurity for Critical Urban Infrastructure,5306,Self-paced,Advanced,Computer Science,English,100.0,Massachusetts Institute of Technology
"Agile Process, Project, and Program Controls",16339,Self-paced,Advanced,Engineering,English,199.0,"The University of Maryland, College Park-University System of Maryland"
Risk Management in Development Projects,13263,Self-paced,Intermediate,Business & Management,English,25.0,Inter-American Development Bank
"Pintura europea: Leonardo, Rembrandt, Goya",32635,Self-paced,Introductory,Humanities,Español,29.0,Universidad Carlos III de Madrid
Risk & Return,21970,Self-paced,Introductory,Business & Management,English,225.0,Columbia University
Project Management of Engineering Projects: Preparing for Success,42834,Instructor-led,Intermediate,Business & Management,English,99.0,Delft University of Technology
Supply Chain Dynamics,75464,Instructor-led,Advanced,Business & Management,English,299.0,Massachusetts Institute of Technology
AWS Developer: Building on AWS,54249,Self-paced,Advanced,Computer Science,English,149.0,Amazon Web Services
Financial Accounting Made Fun: Eliminating Your Fears,36787,Self-paced,Introductory,Business & Management,English,199.0,Babson College
PredictionX: John Snow and the Cholera Epidemic of 1854,17713,Self-paced,Introductory,History,English,25.0,Harvard University
Gestión de operaciones,9512,Self-paced,Introductory,Business & Management,Español,119.0,Universidad Nacional de Córdoba
Microeconomics & Business,10962,Self-paced,Introductory,Economics & Finance,English,79.0,Doane University
Inteligencia artificial: Chatbots sin programación,5001,Self-paced,Introductory,Computer Science,Español,49.0,IBM
Diseño e innovación de modelo de negocios,7180,Self-paced,Advanced,Business & Management,Español,99.0,Tecnológico de Monterrey
Unlocking Investment and Finance in Emerging Markets and Developing Economies (EMDEs),29171,Self-paced,Introductory,Economics & Finance,English,5.0,World Bank Group
Business Communication,52141,Self-paced,Introductory,Communication,English,199.0,Rochester Institute of Technology
Gestão de riscos em projetos,8771,Self-paced,Intermediate,Business & Management,another language,25.0,Inter-American Development Bank
Vocal Recording Technology,52369,Self-paced,Introductory,Engineering,English,49.0,Berklee College of Music
Agua 2.0: empresas eficientes para el siglo XXI,52141,Self-paced,Introductory,Business & Management,Español,25.0,Inter-American Development Bank
IoT Sensors and Devices,33072,Self-paced,Introductory,Computer Science,English,199.0,Curtin University
Introducción a las tecnologías para la Educación,31533,Self-paced,Introductory,Computer Science,Español,49.0,Universitat Politècnica de Valencia
Fundamentos de la guitarra eléctrica y acústica,13124,Self-paced,Introductory,Music,Español,49.0,Berklee College of Music
e-Learning on Digital Agriculture,6238,Self-paced,Introductory,Environmental Studies,English,5.0,World Bank Group
Exploring GraphQL: A Query Language for APIs,9503,Self-paced,Introductory,Computer Science,English,149.0,The Linux Foundation
EmSAT English Preparation - Level 2,7346,Self-paced,Intermediate,Language,English,49.0,United Arab Emirates University
The Data Science Method,7868,Self-paced,Introductory,Data Analysis & Statistics,English,39.0,IBM
"Plato, Socrates, and the Birth of Western Philosophy | 西方哲学精神探源",21291,Self-paced,Introductory,Humanities,English,49.0,Tsinghua University
"Cosmic Rays, Dark Matter, and the Mysteries of the Universe",12888,Self-paced,Intermediate,Physics,English,49.0,Waseda University
Macroeconomic Diagnostics,23408,Self-paced,Intermediate,Economics & Finance,English,25.0,The International Monetary Fund
BioStatistics,14937,Self-paced,Introductory,Biology & Life Sciences,English,79.0,Doane University
Results-Based Project Management: Monitoring and Evaluation,32810,Self-paced,Intermediate,Business & Management,English,199.0,Wits University
Estrategias y estilos de negociación,12639,Self-paced,Introductory,Business & Management,Español,149.0,Tecnológico de Monterrey
Políticas efectivas de desarrollo infantil,64387,Self-paced,Intermediate,Social Sciences,Español,25.0,Inter-American Development Bank
Alzheimer’s Disease & Dementia Care,5763,Self-paced,Intermediate,Medicine,English,49.0,Salisbury University-University System of Maryland
Understanding Classroom Interaction,27114,Self-paced,Introductory,Education & Teacher Training,English,49.0,University of Pennsylvania
Sign Language Science: Emergence and Evolution of Sign Language,8313,Self-paced,Introductory,Language,English,99.0,Georgetown University
International Humanitarian Law,31419,Self-paced,Advanced,Law,English,150.0,Université catholique de Louvain
"Educación de calidad para todos: equidad, inclusión y atención a la diversidad",25111,Self-paced,Introductory,Education & Teacher Training,Español,49.0,Universidad Autónoma de Madrid
Introduction to Astrophysics,20802,Self-paced,Introductory,Physics,English,139.0,École polytechnique fédérale de Lausanne
Epidemics I,10618,Self-paced,Introductory,Medicine,English,139.0,University of Hong Kong
Introducción a la genética y la evolución,15297,Self-paced,Introductory,Biology & Life Sciences,Español,49.0,Universidad Autónoma de Madrid
Fundamentals of Macroeconomics,17820,Self-paced,Introductory,Economics & Finance,English,129.0,Universidad Carlos III de Madrid
"Blockchain and FinTech: Basics, Applications, and Limitations",22011,Self-paced,Introductory,Computer Science,English,199.0,University of Hong Kong
Molecular Biology - Part 2: Transcription and Transposition,18168,Self-paced,Advanced,Biology & Life Sciences,English,99.0,Massachusetts Institute of Technology
"One Planet, One Ocean",12166,Self-paced,Intermediate,Environmental Studies,English,49.0,SDG Academy
Reputation Management in a Digital World,39672,Self-paced,Intermediate,Communication,English,99.0,Curtin University
Google Ads: publicidad efectiva,12084,Self-paced,Introductory,Business & Management,Español,49.0,Universidad Galileo
Introducción a la energía solar fotovoltaica: El módulo fotovoltaico,14673,Self-paced,Intermediate,Engineering,Español,50.0,Universitat Politècnica de Valencia
Computer Vision Fundamentals with Watson and OpenCV,7032,Self-paced,Introductory,Computer Science,English,99.0,IBM
Japanese Business Management,14852,Self-paced,Intermediate,Business & Management,English,129.0,Waseda University
Introduction to Cloud Computing,52141,Self-paced,Introductory,Computer Science,English,49.0,IBM
Fundamentos de logística,7397,Self-paced,Introductory,Engineering,Español,29.0,LOGYCA
Sustainable Urban Development,45760,Self-paced,Introductory,Social Sciences,English,50.0,Delft University of Technology-Wageningen University & Research-Delft University & Wageningen University
Introduction to Biomedical Imaging,56485,Self-paced,Introductory,Medicine,English,99.0,The University of Queensland
Introducción a la programación en Java: empezando a programar,23321,Self-paced,Introductory,Computer Science,Español,49.0,Universidad Carlos III de Madrid
"Circuits and Electronics 2: Amplification, Speed, and Delay",9665,Self-paced,Intermediate,Electronics,English,169.0,Massachusetts Institute of Technology
China’s Political and Intellectual Foundations: From Sage Kings to Confucius,47083,Self-paced,Introductory,History,English,139.0,Harvard University
Introduction to DevOps and Site Reliability Engineering,8697,Self-paced,Introductory,Computer Science,English,149.0,The Linux Foundation
SQL aplicado en la  ciencia de datos,52141,Self-paced,Introductory,Data Analysis & Statistics,Español,39.0,IBM
Sign Language Science: Factors Contributing to Nature Structure,52141,Self-paced,Introductory,Language,English,99.0,Georgetown University
Gender and Intersectionality,52141,Self-paced,Introductory,Humanities,English,50.0,The University of Iceland
Digital Transformation in Business,10118,Self-paced,Advanced,Business & Management,English,214.0,"The University of Maryland, College Park-University System of Maryland"
Designing and Creating Trousers,7544,Self-paced,Introductory,Design,English,99.0,The Hong Kong Polytechnic University
Introducción a la teoría política: conceptos y grandes pensadores,11741,Self-paced,Introductory,Social Sciences,Español,59.0,Università degli Studi di Napoli Federico II
"Human Rights, Human Wrongs: Challenging Poverty, Vulnerability and Social Exclusion",11426,Self-paced,Intermediate,Social Sciences,English,49.0,SDG Academy
Industry 4.0: How to Revolutionize your Business,28404,Self-paced,Introductory,Business & Management,English,50.0,The Hong Kong Polytechnic University
Desafíos y oportunidades en la economía digital,47792,Self-paced,Introductory,Economics & Finance,Español,25.0,Inter-American Development Bank
Pensamiento crítico: toma de decisiones razonadas,16853,Self-paced,Introductory,Business & Management,Español,149.0,Tecnológico de Monterrey
"MathTrackX: Polynomials, Functions and Graphs",52141,Self-paced,Introductory,Math,English,79.0,University of Adelaide
Sustainable Food Security: Crop Production,35367,Self-paced,Intermediate,Biology & Life Sciences,English,49.0,Wageningen University & Research
Network and Security Foundations,7301,Self-paced,Introductory,Computer Science,English,299.7,Western Governors University
Cannabis Cultivation and Processing,7419,Self-paced,Introductory,Environmental Studies,English,179.0,Doane University
"Data, Models and Decisions in Business Analytics",36289,Instructor-led,Advanced,Business & Management,English,249.0,Columbia University
Data Structures Fundamentals,42381,Self-paced,Intermediate,Computer Science,English,99.0,"The University of California, San Diego"
Shaping Work of the Future,22246,Self-paced,Introductory,Business & Management,English,49.0,Massachusetts Institute of Technology
Introducción a la robótica e industria 4.0,7056,Self-paced,Introductory,Computer Science,Español,49.0,Universidades Anáhuac
Fighting for Equality: 1950–2018,9274,Self-paced,Intermediate,History,English,50.0,Columbia University
"Design Thinking: Ideation, Iteration and Communication",14629,Self-paced,Intermediate,Business & Management,English,299.0,Rochester Institute of Technology
Negotiation Strategies and Styles,37826,Self-paced,Intermediate,Business & Management,English,149.0,Tecnológico de Monterrey
Crear música con tecnología,10961,Self-paced,Introductory,Music,Español,49.0,Berklee College of Music
Análisis de datos: Diseño y Visualización de Tableros,18368,Self-paced,Intermediate,Computer Science,Español,49.0,Delft University of Technology
Comunicación estratégica: gestión de crisis e imagen pública,7017,Self-paced,Introductory,Communication,Español,49.0,Pontificia Universidad Javeriana
"Understanding Agribusiness, Value Chains, and Consumers in Global Food Systems",14052,Self-paced,Intermediate,Business & Management,English,199.0,University of Adelaide
Unlocking Information Security: Part II,6426,Self-paced,Intermediate,Computer Science,English,149.0,IsraelX-Tel Aviv University
Human Rights Defenders,27338,Self-paced,Introductory,Social Sciences,English,49.0,Amnesty International
Product Design: The Delft Design Approach,87539,Self-paced,Intermediate,Business & Management,English,79.0,Delft University of Technology
Introduction to Psychology | 心理学概论,30731,Self-paced,Introductory,Philosophy & Ethics,another language,139.0,Tsinghua University
Circuits and Electronics 3: Applications,9347,Self-paced,Intermediate,Electronics,English,169.0,Massachusetts Institute of Technology
Vaccines: from smallpox to technologies of the future,6166,Self-paced,Intermediate,Medicine,English,49.0,KU Leuven University
Le management,6273,Self-paced,Introductory,Business & Management,another language,149.0,HEC Montréal
Circular Economy for a Sustainable Built Environment,8032,Self-paced,Intermediate,Architecture,English,50.0,Delft University of Technology
Agile Innovation and Problem Solving Skills,12667,Self-paced,Advanced,Engineering,English,199.0,"The University of Maryland, College Park-University System of Maryland"
International Investment Law,23335,Instructor-led,Advanced,Law,English,150.0,Université catholique de Louvain
Animation and CGI Motion,36827,Instructor-led,Advanced,Computer Science,English,249.0,Columbia University
Terrorism and Counterterrorism,28580,Self-paced,Introductory,Humanities,English,49.0,Georgetown University
Découvrir le marketing,30030,Instructor-led,Intermediate,Business & Management,another language,150.0,Université catholique de Louvain
Solar Energy: Photovoltaic (PV) Energy Conversion,38041,Instructor-led,Advanced,Engineering,English,250.0,Delft University of Technology
Introduction to Actuarial Science,52667,Self-paced,Introductory,Data Analysis & Statistics,English,49.0,Australian National University
PredictionX: Lost Without Longitude,9114,Self-paced,Introductory,History,English,49.0,Harvard University
Information Technology Foundations,6388,Self-paced,Introductory,Computer Science,English,399.6,Western Governors University
Introducción a la Inteligencia Artificial de Watson,52141,Self-paced,Introductory,Computer Science,Español,49.0,IBM
Dealing with Power and Dynamics: Discover Your Leadership Style and Influence Stakeholders,16013,Self-paced,Intermediate,Business & Management,English,125.0,Delft University of Technology
Instructional Design and Technology: Learning Theories,21296,Instructor-led,Intermediate,Education & Teacher Training,English,299.0,University System of Maryland-University of Maryland Global Campus
"Algorithms: Design and Analysis, Part 2",37826,Self-paced,Intermediate,Computer Science,English,149.0,Stanford University
The Math of Data Science: Linear Algebra,6746,Self-paced,Intermediate,Math,English,159.0,Rice University
Introducción al quirófano,37826,Self-paced,Intermediate,Medicine,Español,49.0,Universidades Anáhuac
The Hardware of a Quantum Computer,20052,Self-paced,Intermediate,Physics,English,79.0,Delft University of Technology
Grabar y mezclar música,10856,Self-paced,Introductory,Music,Español,49.0,Berklee College of Music
Leadership focused on Human Flourishing,37826,Self-paced,Intermediate,Business & Management,English,149.0,Tecnológico de Monterrey
Automata Theory,34472,Self-paced,Advanced,Computer Science,English,129.0,Stanford University
¡Conceptos básicos de Python para Data Science!,52141,Self-paced,Introductory,Data Analysis & Statistics,Español,49.0,IBM
Herramientas para el Análisis de Big Data,8118,Self-paced,Intermediate,Data Analysis & Statistics,Español,49.0,Tecnológico de Monterrey
