course_title,num_subscribers,course_type,course_level,subject,language,price_certification,institution
Religious Literacy: Traditions and Scriptures,96972,Self-paced,Introductory,Humanities,English,99.0,Harvard University
Programación para todos (empezando con Python),81004,Self-paced,Introductory,Computer Science,Español,49.0,The University of Michigan
Analyzing and Visualizing Data with Power BI,28879,Self-paced,Introductory,Data Analysis & Statistics,English,99.0,Davidson College
High-Dimensional Data Analysis,78443,Self-paced,Advanced,Data Analysis & Statistics,English,149.0,Harvard University
Introduction To Music Theory,67029,Self-paced,Introductory,Humanities,English,49.0,Berklee College of Music
Human Anatomy,126850,Self-paced,Introductory,Medicine,English,139.0,The Hong Kong Polytechnic University
"CitiesX: The Past, Present and Future of Urban Life",76874,Self-paced,Introductory,Social Sciences,English,99.0,Harvard University
The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,24208,Self-paced,Introductory,Philosophy & Ethics,English,99.0,Harvard University
Entrepreneurship 101: Who is your customer?,41838,Self-paced,Introductory,Business & Management,English,49.0,Massachusetts Institute of Technology
"U.S. Public Policy: Social, Economic, and Foreign Policies",44045,Self-paced,Introductory,Social Sciences,English,49.0,Harvard University
Machine Learning with Python: from Linear Models to Deep Learning,85561,Instructor-led,Advanced,Computer Science,English,300.0,Massachusetts Institute of Technology
Introduction to Data Science,43766,Self-paced,Introductory,Data Analysis & Statistics,English,39.0,IBM
Circuits and Electronics 1: Basic Circuit Analysis,52639,Self-paced,Introductory,Electronics,English,169.0,Massachusetts Institute of Technology
Introduction to Investments,91788,Self-paced,Intermediate,Business & Management,English,50.0,Indian Institute of Management Bangalore
Improving Your Business Through a Culture of Health,54136,Self-paced,Introductory,Business & Management,English,99.0,Harvard University
Introduction to Linear Models and Matrix Algebra,92004,Self-paced,Intermediate,Math,English,149.0,Harvard University
DO Your Venture: Entrepreneurship For Everyone,61989,Self-paced,Introductory,Business & Management,English,150.0,Indian Institute of Management Bangalore
El valor de la creatividad y la innovación: La Economía Naranja,23728,Self-paced,Introductory,Art & Culture,Español,25.0,Inter-American Development Bank
Humanitarian Response to Conflict and Disaster,119891,Self-paced,Introductory,Health & Safety,English,99.0,Harvard University
"Women Making History: Ten Objects, Many Stories",38939,Self-paced,Introductory,History,English,99.0,Harvard University
Masterpieces of World Literature,88789,Self-paced,Introductory,Literature,English,149.0,Harvard University
SQL for Data Science,39184,Self-paced,Introductory,Data Analysis & Statistics,English,39.0,IBM
El cerebro y las emociones en el lenguaje,41279,Self-paced,Introductory,Communication,Español,49.0,Universidad del Rosario
Science & Cooking: From Haute Cuisine to Soft Matter Science (physics),62673,Self-paced,Introductory,Physics,English,169.0,Harvard University
Python: aprender a programar,21613,Self-paced,Introductory,Computer Science,Español,49.0,Universitat Politècnica de Valencia
Marketing Analytics: Competitive Analysis and Market Segmentation,70682,Self-paced,Intermediate,Computer Science,English,249.0,"University of California, Berkeley"
MalariaX: Defeating Malaria from the Genes to the Globe,37598,Self-paced,Intermediate,Biology & Life Sciences,English,49.0,Harvard University
Entrepreneurship in Emerging Economies,113602,Self-paced,Introductory,Business & Management,English,125.0,Harvard University
JavaScript Introduction,160112,Self-paced,Introductory,Computer Science,English,199.0,The World Wide Web Consortium (W3C)
People Management,113592,Self-paced,Introductory,Business & Management,English,150.0,Indian Institute of Management Bangalore
Using Email for Networking in English,57208,Self-paced,Introductory,Language,English,149.0,University of Washington
Databases: Relational Databases and SQL,20502,Self-paced,Introductory,Computer Science,English,50.0,Stanford University
C Programming: Getting Started,104108,Self-paced,Introductory,Computer Science,English,49.0,Dartmouth_IMTx-Dartmouth College-IMT
Supply Chain Analytics,145049,Instructor-led,Introductory,Business & Management,English,199.0,Massachusetts Institute of Technology
Programming for the Web with JavaScript,91406,Self-paced,Intermediate,Computer Science,English,149.0,University of Pennsylvania
Introduction to Digital Humanities,37501,Self-paced,Introductory,Humanities,English,99.0,Harvard University
Upper-Intermediate English: Business and Industry,103704,Self-paced,Intermediate,Language,English,50.0,Universitat Politècnica de Valencia
EmSAT English Preparation - Level 1,29101,Self-paced,Introductory,Language,English,49.0,United Arab Emirates University
Python for Data Science,266978,Self-paced,Advanced,Data Analysis & Statistics,English,350.0,"The University of California, San Diego"
