course_title,institution,course_id
Introdução à Ciência da Computação com Python Parte 1,Universidade de São Paulo,ciencia-computacao-python-conceitos
Stochastic processes,National Research University Higher School of Economics,stochasticprocesses
Foundations for Big Data Analysis with SQL,Cloudera,foundations-big-data-analysis-sql
"Innovation Through Design: Think, Make, Break, Repeat",The University of Sydney,innovation-through-design
Perfect Tenses and Modals,"University of California, Irvine",perfect-tenses-modals
Getting Started with Azure,LearnQuest,cloud-azure-intro
Moralities of Everyday Life,Yale University,moralities
Revisão Sistemática e Meta-análise,Universidade Estadual de Campinas,revisao-sistematica
Understanding child development: from synapse to society,Utrecht University,child-development
Introduction to G Suite,Google Cloud,introduction-g-suite
Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn),University of California San Diego,aprendiendo-a-aprender
Building Batch Data Pipelines on GCP,Google Cloud,batch-data-pipelines-gcp
Financial Planning for Young Adults,University of Illinois at Urbana-Champaign,financial-planning
Quantitative Methods,University of Amsterdam,quantitative-methods
"Introduction to Self-Determination Theory: An approach to motivation, development and wellness",University of Rochester,self-determination-theory
The Technology of Music Production,Berklee College of Music,technology-of-music-production
Code Yourself! An Introduction to Programming,The University of Edinburgh,intro-programming
Success,University of Pennsylvania,wharton-success
Chemicals and Health,Johns Hopkins University,chemicals-health
Improving your statistical inferences,Eindhoven University of Technology,statistical-inferences
Fundamentals of Finance,University of Pennsylvania,finance-fundamentals
How Google does Machine Learning,Google Cloud,google-machine-learning
Object-Oriented Design,University of Alberta,object-oriented-design
Introduction to Intellectual Property,University of Pennsylvania,introduction-intellectual-property
Cost and Economics in Pricing Strategy,BCG,uva-darden-bcg-pricing-strategy-cost-economics
Write A Feature Length Screenplay For Film Or Television,Michigan State University,write-a-feature-length-screenplay-for-film-or-television
Marketing Gerencial,Universidad de Chile,marketing-gerencial
Corporate Finance Essentials,IESE Business School,corporate-finance-essentials
Information Security: Context and Introduction,"Royal Holloway, University of London",information-security-data
"Anatomy of the Chest, Abdomen, and Pelvis",Yale University,trunk-anatomy
Introduction to CSS3,University of Michigan,introcss
Applied Data Science Capstone,IBM,applied-data-science-capstone
Introduction aux Droits de l’Homme,University of Geneva,droits-de-lhomme
"Programming Languages, Part A",University of Washington,programming-languages
Big History: Connecting Knowledge,Macquarie University,big-history
Leadership in 21st Century Organizations,Copenhagen Business School,leadership-21st-century
Software Processes and Agile Practices,University of Alberta,software-processes-and-agile-practices
DevOps Culture and Mindset,"University of California, Davis",devops-culture-and-mindset
Introduction to Statistics & Data Analysis in Public Health,Imperial College London,introduction-statistics-data-analysis-public-health
Discrete Optimization,The University of Melbourne,discrete-optimization
Основы разработки на C++: белый пояс,Moscow Institute of Physics and Technology,c-plus-plus-white
COVID-19 Contact Tracing For Nursing Professionals,University of Houston,covid-19-contact-tracing-for-nursing-professionals
High Stakes Leadership: Leading in Times of Crisis,University of Michigan,high-stakes-leadership
Essential Epidemiologic Tools for Public Health Practice,Johns Hopkins University,epidemiology-tools
"Recruiting, Hiring, and Onboarding Employees",University of Minnesota,recruiting-hiring-onboarding-employees
AWS Fundamentals: Addressing Security Risk,Amazon Web Services,aws-fundamentals-addressing-security-risk
Ancient Philosophy: Plato & His Predecessors,University of Pennsylvania,plato
Becoming a changemaker: Introduction to Social Innovation,University of Cape Town,social-innovation
Spanish for Successful Communication in Healthcare Settings,Rice University,spanish-in-healthcare-settings
Leading transformations: Manage change,Macquarie University,change-management
Introduction to Systems Engineering,UNSW Sydney (The University of New South Wales),systems-engineering
Bayesian Statistics: Techniques and Models,"University of California, Santa Cruz",mcmc-bayesian-statistics
Human Rights for Open Societies,Utrecht University,humanrights
Introduction to Computers and Office Productivity Software,The Hong Kong University of Science and Technology,introduction-to-computers-and-office-productivity-software
The Introduction to Quantum Computing,Saint Petersburg State University,quantum-computing-algorithms
Intercultural Management,ESCP Business School,intercultural
Get Interactive: Practical Teaching with Technology,University of London,getinmooc
Global Financial Markets and Instruments,Rice University,global-financial-markets-instruments
Write Your First Novel,Michigan State University,write-your-first-novel
Développement psychologique de l'enfant,University of Geneva,enfant-developpement
Songwriting: Writing the Lyrics,Berklee College of Music,songwriting-lyrics
"Applied Plotting, Charting & Data Representation in Python",University of Michigan,python-plotting
Systems Thinking In Public Health,Johns Hopkins University,systems-thinking
Excel Skills for Business: Advanced,Macquarie University,excel-advanced
Introduction to Neuroeconomics: How the Brain Makes Decisions,National Research University Higher School of Economics,neuroeconomics
Community Organizing for Social Justice,University of Michigan,community-organizing
Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course),Hebrew University of Jerusalem,nand2tetris2
The Global Financial Crisis,Yale University,global-financial-crisis
Agile и Scrum в работе над проектами и продуктами,E-Learning Development Fund,upravleniya-proektami-agile-scrum
Renewable Energy and Green Building Entrepreneurship,Duke University,renewable-energy-entrepreneurship
The Cycle: Management of Successful Arts and Cultural Organizations,"University of Maryland, College Park",the-cycle
Privacy Law and Data Protection,University of Pennsylvania,privacy-law-data-protection
Building Modern Python Applications on AWS,Amazon Web Services,building-modern-python-applications-on-aws
Digital Business Models,Lund University,digital-business-models
"Everyday Excel, Part 2",University of Colorado Boulder,everyday-excel-part-2
Reliable Google Cloud Infrastructure: Design and Process,Google Cloud,cloud-infrastructure-design-process
Introduction to Computer Programming,University of London,introduction-to-computer-programming
"Big Data Essentials: HDFS, MapReduce and Spark RDD",Yandex,big-data-essentials
Dermatology: Trip to skin,Novosibirsk State University ,dermatology
Sustainable Tourism – promoting environmental public health,University of Copenhagen,sustainable-tourism
Population Health During A Pandemic: Contact Tracing and Beyond,University of Houston,contact-tracing-for-covid-19
Social Impact Strategy: Tools for Entrepreneurs and Innovators,University of Pennsylvania,social-impact
C for Everyone: Programming Fundamentals,"University of California, Santa Cruz",c-for-everyone
Introduction to Structured Query Language (SQL),University of Michigan,intro-sql
Social and Economic Networks:  Models and Analysis,Stanford University,social-economic-networks
The Truth About Cats and Dogs,The University of Edinburgh,cats-and-dogs
Sports and Society,Duke University,sports-society
Fundamentals of Scalable Data Science,IBM,ds
Effective Compliance Programs,University of Pennsylvania,effective-compliance-programs
Transformation of the Global Food System,University of Copenhagen,transformation-global-food-system
Web Application Technologies and Django,University of Michigan,django-database-web-apps
Curanderismo: Traditional Healing Using Plants,University of New Mexico,curanderismo-plants
Applied Machine Learning in Python,University of Michigan,python-machine-learning
Troubleshooting and Debugging Techniques,Google,troubleshooting-debugging-techniques
Introduction to C# Programming and Unity,University of Colorado System,introduction-programming-unity
"Corrección, estilo y  variaciones de la lengua española",Universitat Autònoma de Barcelona,correccion-estilo-variaciones
Les Fondamentaux de la Négociation,ESSEC Business School,fondamentaux-negociation
The Science of Success: What Researchers Know that You Should Know,University of Michigan,success
Finance for Non-Financial Managers,Emory University,finance-for-non-financial-managers
Getting Started With Music Theory,Michigan State University,music-theory
The Horse Course: Introduction to Basic Care and Management,University of Florida,horse-care
Verb Tenses and Passives,"University of California, Irvine",verb-passives
Gestión de organizaciones efectivas,Pontificia Universidad Católica de Chile,gestion-organizaciones-efectivas
Introduction to Big Data,University of California San Diego,big-data-introduction
Rédaction de contrats,University of Geneva,contrats
Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences,The University of Edinburgh,philosophy-cognitive-sciences
Schizophrenia,Wesleyan University,schizophrenia
Ecology: Ecosystem Dynamics and Conservation,Howard Hughes Medical Institute ,ecology-conservation
Introduction to Game Development,Michigan State University,game-development
Practical Time Series Analysis,The State University of New York,practical-time-series-analysis
VLSI CAD Part I: Logic,University of Illinois at Urbana-Champaign,vlsi-cad-logic
Getting Started with Google Kubernetes Engine,Google Cloud,google-kubernetes-engine
Exploring ​and ​Preparing ​your ​Data with BigQuery,Google Cloud,gcp-exploring-preparing-data-bigquery
Six Sigma and the Organization (Advanced),University System of Georgia,six-sigma-organization-advanced
Social Work Practice: Advocating Social Justice and Change,University of Michigan,social-work-practice-advocating-social-justice-and-change
Introduction to Machine Learning,Duke University,machine-learning-duke
Entrepreneurship 2: Launching your Start-Up,University of Pennsylvania,wharton-launching-startup
Nanotechnology: A Maker’s Course,Duke University,nanotechnology
Creative Problem Solving,University of Minnesota,creative-problem-solving
"Sleep: Neurobiology, Medicine, and Society",University of Michigan,sleep
COVID-19: What You Need to Know (CME Eligible),Osmosis,covid-19-what-you-need-to-know
Classical Sociological Theory,University of Amsterdam,classical-sociological-theory
Electric Industry Operations and Markets,Duke University,electricity
Preparing for the Google Cloud Professional Cloud Architect Exam,Google Cloud,preparing-cloud-professional-cloud-architect-exam
Effective Business Presentations with Powerpoint,PwC,powerpoint-presentations
More Introduction to Financial Accounting,University of Pennsylvania,wharton-financial-accounting
Cryptocurrency and Blockchain: An Introduction to Digital Currencies,University of Pennsylvania,wharton-cryptocurrency-blockchain-introduction-digital-currency
Think Again I: How to Understand Arguments,Duke University,understanding-arguments
Developing Your Musicianship,Berklee College of Music,develop-your-musicianship
Introduction to Operations Management,University of Pennsylvania,wharton-operations
The Oral Cavity: Portal to Health and Disease,University of Pennsylvania,oralcavity
Preparing for the Google Cloud Associate Cloud Engineer Exam,Google Cloud,preparing-cloud-associate-cloud-engineer-exam
Fundamental Neuroscience for Neuroimaging,Johns Hopkins University,neuroscience-neuroimaging
European Business Law: Understanding the Fundamentals,Lund University,european-law-fundamentals
Teach English Now! Teaching Language Online,Arizona State University,teachlanguageonline
Front-End Web Development with React,The Hong Kong University of Science and Technology,front-end-react
Music Business Foundations,Berklee College of Music,music-business-foundations
Introduction to Business Analytics: Communicating with Data,University of Illinois at Urbana-Champaign,intro-business-analytics
Machine Learning Foundations: A Case Study Approach,University of Washington,ml-foundations
Accounting Analytics,University of Pennsylvania,accounting-analytics
Strategic Business Management - Microeconomics,"University of California, Irvine",strategic-business-management-microeconomics
"Epidemics, Pandemics and Outbreaks",University of Pittsburgh,epidemic-pandemic-outbreak
Roman Architecture,Yale University,roman-architecture
Research Data Management and Sharing,The University of Edinburgh,data-management
Introduction to Genomic Technologies,Johns Hopkins University,introduction-genomics
Strategic Management,Copenhagen Business School,strategic-management
Cybersecurity Compliance Framework & System Administration,IBM,cybersecurity-compliance-framework-system-administration
Legal Tech & Startups,IE Business School,legal-tech-startups
Introduction to Chemistry:  Reactions and Ratios,Duke University,intro-chemistry
The Science of Stem Cells,American Museum of Natural History,stem-cells
The Business of Product Management I,Advancing Women in Product,the-business-of-product-management-one
Positive Psychology: Resilience Skills,University of Pennsylvania,positive-psychology-resilience
AI for Medical Prognosis,DeepLearning.AI,ai-for-medical-prognosis
Antibiotic Stewardship,Stanford University,antibiotic-stewardship
UX / UI: Fundamentos para o design de interface,Universidade de São Paulo,ux-ui-design-de-interface
EMT Foundations,University of Colorado System,emt-foundations
Industrial IoT on Google Cloud Platform,Google Cloud,iiot-google-cloud-platform
"Penetration Testing, Incident Response and Forensics",IBM,ibm-penetration-testing-incident-response-forensics
Database Management Essentials,University of Colorado System,database-management
Advertising and Society,Duke University,role-of-advertising
Everyday Chinese Medicine,The Chinese University of Hong Kong,everyday-chinese-medicine
Fundamentals of Machine Learning for Healthcare,Stanford University,fundamental-machine-learning-healthcare
New Approaches to Countering Terror: Countering Violent Extremism,"University of Maryland, College Park",countering-terror-violent-extremism
Magic in the Middle Ages,Universitat de Barcelona,magic-middle-ages
Challenging Forensic Science: How Science Should Speak to Court,University of Lausanne,challenging-forensic-science
Exploring Renewable Energy Schemes,University of Pennsylvania,exploring-renewable-energy
Paleontology: Theropod Dinosaurs and the Origin of Birds,University of Alberta,theropods-birds
Corporate Strategy,UCL School of Management,corporatestrategy
Getting Started with Essay Writing,"University of California, Irvine",getting-started-with-essay-writing
Actualización en el manejo del paciente con diabetes mellitus tipo 2,Universidad Nacional Autónoma de México,actualizacion-manejo-diabetes-tipo-2
Mastering Final Cut Pro,LearnQuest,mastering-final-cut-pro
Removing Barriers to Change,University of Pennsylvania,removing-barriers-to-change
Tricky American English Pronunciation,"University of California, Irvine",tricky-american-english-pronunciation
Managing an Agile Team,University of Virginia,uva-darden-agile-team-management
International Law in Action: A Guide to the International Courts and Tribunals in The Hague,Universiteit Leiden,international-law-in-action
"Competencias Laborales: Perfiles, Evaluación y Capacitación.",Universidad de Chile,competencias-lab
Getting started with TensorFlow 2,Imperial College London,getting-started-with-tensor-flow2
Geopolitics of Europe,Sciences Po,geopolitics-europe
Osteoarchaeology: The Truth in Our Bones,Universiteit Leiden,truthinourbones-osteoarchaeology-archaeology
Mathematics for Machine Learning: PCA,Imperial College London,pca-machine-learning
Object Oriented Programming in Java,University of California San Diego,object-oriented-java
Embedded Software and Hardware Architecture,University of Colorado Boulder,embedded-software-hardware
Memoir and Personal Essay: Managing Your Relationship with the Reader,Wesleyan University,memoir-reader-relationship
Математика и Python для анализа данных,Moscow Institute of Physics and Technology,mathematics-and-python
Hacia una práctica constructivista en el aula,Pontificia Universidad Católica de Chile,aulaconstructivista
Hypothesis-Driven Development,University of Virginia,uva-darden-agile-testing
Accounting Data Analytics with Python,University of Illinois at Urbana-Champaign,accounting-data-analytics-python
Introduction to Molecular Spectroscopy,University of Manchester   ,spectroscopy
Managing as a Coach,"University of California, Davis",managing-as-a-coach
