course_title,institution,course_id
Cryptography I,Stanford University,crypto
Learning to Teach Online,UNSW Sydney (The University of New South Wales),teach-online
IT Security: Defense against the digital dark arts,Google,it-security
Entreprise et changement climatique,ESSEC Business School,entreprise-changement-climatique
An Introduction to Consumer Neuroscience & Neuromarketing,Copenhagen Business School,neuromarketing
Gamification,University of Pennsylvania,gamification
Contabilidad para no contadores,Universidad Nacional Autónoma de México,contabilidad
Using Python to Interact with the Operating System,Google,python-operating-system
Object-Oriented Data Structures in C++,University of Illinois at Urbana-Champaign,cs-fundamentals-1
Google Cloud Platform Big Data and Machine Learning Fundamentals,Google Cloud,gcp-big-data-ml-fundamentals
Databases and SQL for Data Science,IBM,sql-data-science
Natural Language Processing in TensorFlow,DeepLearning.AI,natural-language-processing-tensorflow
"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital",Erasmus University Rotterdam,advanced-valuation-and-strategy
Natural Language Processing with Probabilistic Models,DeepLearning.AI,probabilistic-models-in-nlp
Vital Signs: Understanding What the Body Is Telling Us,University of Pennsylvania,vital-signs
Understanding Research Methods,University of London,research-methods
IBM Customer Engagement Specialist Professional Certificate,IBM,ibm-customer-engagement-specialist
Introduction to Calculus,The University of Sydney,introduction-to-calculus
Camino a la Excelencia en Gestión de Proyectos,Pontificia Universidad Católica de Chile,camino-excelencia-gestion-proyectos
Introduction to HTML5,University of Michigan,html
Wine Tasting: Sensory Techniques for Wine Analysis,"University of California, Davis",wine
Excel Skills for Business: Intermediate I,Macquarie University,excel-intermediate-1
"Programming Foundations with JavaScript, HTML and CSS",Duke University,duke-programming-web
Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course),Hebrew University of Jerusalem,build-a-computer
Food & Beverage Management,Università Bocconi,food-beverage-management
Data Analysis with Python,IBM,data-analysis-with-python
Project Planning,"University of California, Irvine",project-planning-1
Agile Meets Design Thinking,University of Virginia,uva-darden-getting-started-agile
AWS Fundamentals: Going Cloud-Native,Amazon Web Services,aws-fundamentals-going-cloud-native
Construction Project Management,Columbia University,construction-project-management
Introduction to Mathematical Thinking,Stanford University,mathematical-thinking
Everyday Parenting: The ABCs of Child Rearing,Yale University,everyday-parenting
Introduction to Healthcare,Stanford University,intro-to-healthcare
Machine Learning with Python,IBM,machine-learning-with-python
Terrorism and Counterterrorism: Comparing Theory and Practice,Universiteit Leiden,terrorism
Data Management for Clinical Research,Vanderbilt University,clinical-data-management
Sustainable Fashion,Copenhagen Business School,sustainable-fashion
Foundations of Data Science: K-Means Clustering in Python,University of London,data-science-k-means-clustering-python
Instructional Design Foundations and Applications,University of Illinois at Urbana-Champaign,instructional-design-foundations-applications
Cursos en línea: modelo para armar,Universidad Nacional Autónoma de México,enlinea
Modern Art & Ideas,The Museum of Modern Art,modern-art-ideas
"Speak English Professionally: In Person, Online & On the Phone",Georgia Institute of Technology,speak-english-professionally
Essential Google Cloud Infrastructure: Foundation,Google Cloud,gcp-infrastructure-foundation
Introduction to Artificial Intelligence (AI),IBM,introduction-to-ai
Dog Emotion and Cognition,Duke University,dog-emotion-and-cognition
International Leadership and Organizational Behavior,Università Bocconi,organizational-behavior
Driving business towards the Sustainable Development Goals,Erasmus University Rotterdam,sdgbusiness
"The Sustainable Development Goals – A global, transdisciplinary vision for the future",University of Copenhagen,global-sustainable-development
Digital Transformation,BCG,bcg-uva-darden-digital-transformation
Sequence Models,DeepLearning.AI,nlp-sequence-models
Devenir entrepreneur du changement,HEC Paris,entrepreneur-changement
Seeing Through Photographs,The Museum of Modern Art,photography
Entrepreneurship 1: Developing the Opportunity,University of Pennsylvania,wharton-entrepreneurship-opportunity
Introduction to Search Engine Optimization,"University of California, Davis",search-engine-optimization
Learn to Speak Korean 1,Yonsei University,learn-speak-korean1
Drug Development,University of California San Diego,drug-development
R Programming,Johns Hopkins University,r-programming
Economics of Money and Banking,Columbia University,money-banking
Chinese for Beginners,Peking University,learn-chinese
Grammar and Punctuation,"University of California, Irvine",grammar-punctuation
Japanese for beginners 1,Saint Petersburg State University,japanese-1
Introduction to English Common Law,University of London,intro-common-law
Introduction to Dental Medicine,University of Pennsylvania,dental-medicine-penn
Fundamentals of Reinforcement Learning,Alberta Machine Intelligence Institute,fundamentals-of-reinforcement-learning
The Power of Macroeconomics: Economic Principles in the Real World,"University of California, Irvine",principles-of-macroeconomics
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Università Bocconi,corp-sustainability
Behavioral Finance,Duke University,duke-behavioral-finance
"Sequences, Time Series and Prediction",DeepLearning.AI,tensorflow-sequences-time-series-and-prediction
Supply Chain Logistics,Rutgers the State University of New Jersey,supply-chain-logistics
Project Execution,"University of California, Irvine",project-execution
Nutrición y obesidad: control de sobrepeso,Universidad Nacional Autónoma de México,nutricion-obesidad-sobrepeso
Microeconomics Principles,University of Illinois at Urbana-Champaign,microeconomics
Creative Writing: The Craft of Plot,Wesleyan University,craft-of-plot
Astronomy: Exploring Time and Space,University of Arizona,astro
Oil & Gas Industry Operations and Markets,Duke University,oilandgas
Design Thinking for Innovation,University of Virginia,uva-darden-design-thinking-innovation
EDIVET: Do you have what it takes to be a veterinarian?,The University of Edinburgh,becoming-a-veterinarian
Learn to Program: The Fundamentals,University of Toronto,learn-to-program
Financial Accounting Fundamentals,University of Virginia,uva-darden-financial-accounting
Finding Purpose and Meaning In Life: Living for What Matters Most,University of Michigan,finding-purpose-and-meaning-in-life
Understanding Clinical Research: Behind the Statistics,University of Cape Town,clinical-research
Epidemiology: The Basic Science of Public Health,The University of North Carolina at Chapel Hill,epidemiology
Fashion as Design,The Museum of Modern Art,fashion-design
Teamwork Skills: Communicating Effectively in Groups,University of Colorado Boulder,teamwork-skills-effective-communication
